Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
4201,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0001084041545105661,0.0001083011126038656,0.0001083011126038656,0.0,0.0
4202,0.012072832300574972,0.014295274462619712,0.0017689442808942715,0.001493780585695683,0.001493780585695683,0.001493780585695683,0.0,0.012174713946102214
4203,0.0,0.0022224421620449684,0.010636636108736996,0.0030777840299059975,0.001653313698646307,0.001653313698646307,0.0,0.0
4204,0.4035707140532968,0.03617116989314686,0.004469251301106304,7.233693981764449e-05,0.0007175623040156084,0.0007175623040156084,0.0,0.0
4205,0.0,0.0022224421620449684,0.002227243735086586,0.0026114378177747918,0.0021382439817171964,0.0021382439817171964,0.0,0.0
4206,0.01003242529077281,0.01064166100356224,0.0026425193383753593,0.0001554144681059753,0.0001554144681059753,0.0001554144681059753,0.0,0.0
4207,0.00965017003371945,0.0287495015354594,0.00246693148524586,0.001528253364268776,0.0015281566416082137,0.0015281566416082137,0.00965017003371945,0.0
4208,0.45271470242271644,0.3773568764174457,0.16410035657887442,0.0010991835931106516,0.0010991835931106516,0.0010991835931106516,0.4869304177606295,0.2906771609029226
4209,0.0,0.0022224421620449684,0.0022224421620449684,0.00023036869978592092,0.00023036869978592092,0.00023036869978592092,0.0,0.0
4210,0.0,0.0022224421620449684,0.0019609929066089007,0.0007045197570204304,0.0007045197570204304,0.0007045197570204304,0.0,0.0
4211,0.017921907997262457,0.2898708001768333,0.015696464850193572,0.017204345693246907,0.015783796066736223,0.015783796066736223,0.017921907997262457,0.017921907997262457
4212,0.008711096712083578,0.015712650550984537,0.0007617856592848874,0.004999259036446454,0.004999259036446454,0.004999259036446454,0.020177881937630274,0.010124217273707341
4213,0.004851481473923584,0.42473938900270913,0.001524329182542226,0.00029805036099369095,0.00029805036099369095,0.00029805036099369095,0.0,0.0
4214,0.011466785225546831,0.004468748811186093,0.011132053371707005,0.013566612886270877,0.014164892338461042,0.014164892338461042,0.015106892390208286,0.0
4215,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0001084041545105661,0.0001084041545105661,0.0001083011126038656,0.0,0.0
4216,0.014148463574888803,0.006145289010806913,0.0054420850682480645,0.0062348582170501324,0.0062348582170501324,0.0062348582170501324,0.0,0.01748742672884112
4217,0.011984664174843822,0.03045807702148059,0.0005640728646827518,7.134606329770848e-05,7.134606329770848e-05,7.134606329770848e-05,0.0,0.0
4218,0.002678626458781078,0.023352712753116303,0.007411448044405231,0.00805731663772777,0.007556622232751968,0.007556622232751968,0.012711051749553986,0.012711051749553986
4219,0.0,0.03617507814770278,0.0022224421620449684,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4220,0.004853083222963362,0.004465436770300531,0.001961516333286177,0.0004085071220018773,0.0004085071220018773,0.0004085071220018773,0.0,0.0
4221,0.0038475165041219604,0.01796886363736658,0.0005673530030117098,7.131327639513611e-05,7.131327639513611e-05,7.131327639513611e-05,0.0,0.0
4222,0.0,0.0022224421620449684,0.002227243735086586,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4223,0.0,0.01909933150174009,0.001961474459144891,0.0005148454444792778,0.0005148454444792778,0.0005148454444792778,0.0,0.0
4224,0.004244664266339689,0.009794932191666429,0.008741284448711808,0.26031873030493047,0.260318749830109,0.26031873030493047,0.008173931445700108,0.024662054234269072
4225,0.19649259444651793,0.21061556071250795,0.1920777249393842,0.1901285620591035,0.1901285620591035,0.1901285620591035,0.19264507794239583,0.19264507794239583
4226,0.008711096712083578,0.015712650550984537,0.010709247676759742,0.0030178651108449107,0.0030178651108449107,0.0030178651108449107,0.0,0.010124217273707341
4227,0.0014996831297288827,0.17933430753533364,0.03993125086991726,0.002285703164106886,0.0198797943565755,0.0198797943565755,0.0,0.018859027251315875
4228,0.011495638837829386,0.0005494934520395503,0.008221553658892586,0.005726828250942982,0.005726828250942982,0.005726828250942982,0.011495638837829386,0.011495638837829386
4229,0.4936858063559344,0.37886632938569687,0.2037777803634246,0.001653358834562756,0.00046744880201089414,0.00046744880201089414,0.030373649043518865,0.014950341465971604
