T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
119.0,0.2640449438202247,0.29775280898876405,0.3146067415730337,0.3089887640449438,0.03932584269662921,0.3089887640449438,0.34269662921348315,0.38202247191011235,0.39325842696629215,0.398876404494382,0.34269662921348315
120.0,0.2568306010928962,0.29508196721311475,0.3114754098360656,0.31693989071038253,0.04371584699453552,0.30601092896174864,0.33879781420765026,0.3770491803278688,0.3879781420765027,0.40437158469945356,0.3442622950819672
121.0,0.26704545454545453,0.3068181818181818,0.32386363636363635,0.32954545454545453,0.045454545454545456,0.3181818181818182,0.3465909090909091,0.38636363636363635,0.39204545454545453,0.4090909090909091,0.3522727272727273
122.0,0.2756756756756757,0.3081081081081081,0.32972972972972975,0.32972972972972975,0.043243243243243246,0.32972972972972975,0.35135135135135137,0.3891891891891892,0.40540540540540543,0.41081081081081083,0.3675675675675676
123.0,0.2802197802197802,0.3131868131868132,0.33516483516483514,0.34065934065934067,0.04395604395604396,0.34065934065934067,0.3626373626373626,0.4010989010989011,0.4175824175824176,0.4230769230769231,0.3791208791208791
124.0,0.2736842105263158,0.3157894736842105,0.33157894736842103,0.3368421052631579,0.04736842105263158,0.3473684210526316,0.3684210526315789,0.4052631578947368,0.42105263157894735,0.42105263157894735,0.3736842105263158
125.0,0.2736842105263158,0.3157894736842105,0.33157894736842103,0.3368421052631579,0.04736842105263158,0.3473684210526316,0.3684210526315789,0.4052631578947368,0.42105263157894735,0.42105263157894735,0.3736842105263158
126.0,0.26903553299492383,0.3096446700507614,0.3248730964467005,0.3299492385786802,0.04568527918781726,0.34517766497461927,0.36548223350253806,0.4010152284263959,0.41116751269035534,0.41116751269035534,0.3604060913705584
127.0,0.27040816326530615,0.30612244897959184,0.32653061224489793,0.33163265306122447,0.04591836734693878,0.3469387755102041,0.3673469387755102,0.3979591836734694,0.40816326530612246,0.40816326530612246,0.3622448979591837
128.0,0.26344086021505375,0.3172043010752688,0.3387096774193548,0.3279569892473118,0.04838709677419355,0.3655913978494624,0.3655913978494624,0.3978494623655914,0.41935483870967744,0.41397849462365593,0.3709677419354839
129.0,0.2532051282051282,0.41346153846153844,0.44551282051282054,0.2724358974358974,0.0673076923076923,0.47435897435897434,0.4775641025641026,0.483974358974359,0.5,0.48717948717948717,0.4807692307692308
130.0,0.2391304347826087,0.42857142857142855,0.46273291925465837,0.2701863354037267,0.06521739130434782,0.484472049689441,0.4937888198757764,0.4937888198757764,0.5124223602484472,0.5031055900621118,0.4906832298136646
131.0,0.2347560975609756,0.4329268292682927,0.46646341463414637,0.27134146341463417,0.06402439024390244,0.4878048780487805,0.49390243902439024,0.49085365853658536,0.5121951219512195,0.5030487804878049,0.49085365853658536
132.0,0.2246153846153846,0.4492307692307692,0.49230769230769234,0.27076923076923076,0.06769230769230769,0.5230769230769231,0.5261538461538462,0.5169230769230769,0.5323076923076923,0.5323076923076923,0.5138461538461538
133.0,0.2246153846153846,0.4492307692307692,0.49230769230769234,0.27076923076923076,0.06769230769230769,0.5230769230769231,0.5261538461538462,0.5169230769230769,0.5323076923076923,0.5323076923076923,0.5138461538461538
134.0,0.2413793103448276,0.45768025078369906,0.5141065830721003,0.2664576802507837,0.06583072100313479,0.5391849529780565,0.5360501567398119,0.5235109717868338,0.5391849529780565,0.5329153605015674,0.5203761755485894
135.0,0.24213836477987422,0.4591194968553459,0.5157232704402516,0.2672955974842767,0.0660377358490566,0.5408805031446541,0.5377358490566038,0.5251572327044025,0.5408805031446541,0.5345911949685535,0.5220125786163522
136.0,0.24092409240924093,0.46204620462046203,0.5214521452145214,0.25742574257425743,0.06930693069306931,0.5511551155115512,0.5412541254125413,0.528052805280528,0.5511551155115512,0.5412541254125413,0.5214521452145214
137.0,0.25688073394495414,0.45871559633027525,0.5137614678899083,0.24770642201834864,0.07339449541284404,0.5412844036697247,0.5321100917431193,0.5198776758409785,0.5382262996941896,0.5321100917431193,0.5045871559633027
138.0,0.24124513618677043,0.49416342412451364,0.5408560311284046,0.22178988326848248,0.07392996108949416,0.5797665369649806,0.5758754863813229,0.5525291828793775,0.5758754863813229,0.5603112840466926,0.5719844357976653
139.0,0.2421875,0.4921875,0.5390625,0.22265625,0.07421875,0.58203125,0.578125,0.5546875,0.57421875,0.55859375,0.5703125
140.0,0.26337448559670784,0.5267489711934157,0.5802469135802469,0.20987654320987653,0.07818930041152264,0.5967078189300411,0.6090534979423868,0.5843621399176955,0.5967078189300411,0.5843621399176955,0.5967078189300411
141.0,0.270042194092827,0.5358649789029536,0.5907172995780591,0.20253164556962025,0.0759493670886076,0.6075949367088608,0.620253164556962,0.5949367088607594,0.6075949367088608,0.5864978902953587,0.6033755274261603
142.0,0.270042194092827,0.5358649789029536,0.5907172995780591,0.20253164556962025,0.0759493670886076,0.6075949367088608,0.620253164556962,0.5949367088607594,0.6075949367088608,0.5864978902953587,0.6033755274261603
143.0,0.26956521739130435,0.5434782608695652,0.6,0.20434782608695654,0.08260869565217391,0.6130434782608696,0.6260869565217392,0.6,0.6043478260869565,0.591304347826087,0.6
144.0,0.27074235807860264,0.5414847161572053,0.5982532751091703,0.20087336244541484,0.08296943231441048,0.611353711790393,0.6244541484716157,0.5982532751091703,0.6026200873362445,0.5895196506550219,0.5982532751091703
145.0,0.27601809954751133,0.5475113122171946,0.6108597285067874,0.19909502262443438,0.08144796380090498,0.6153846153846154,0.6289592760180995,0.6018099547511312,0.6063348416289592,0.5972850678733032,0.6108597285067874
146.0,0.27802690582959644,0.547085201793722,0.6098654708520179,0.20179372197309417,0.08071748878923767,0.6143497757847534,0.6278026905829597,0.600896860986547,0.6053811659192825,0.5964125560538116,0.6098654708520179
147.0,0.2850467289719626,0.5654205607476636,0.6261682242990654,0.205607476635514,0.08411214953271028,0.6308411214953271,0.6448598130841121,0.616822429906542,0.6261682242990654,0.616822429906542,0.6308411214953271
148.0,0.2850467289719626,0.5654205607476636,0.6261682242990654,0.205607476635514,0.08411214953271028,0.6308411214953271,0.6448598130841121,0.616822429906542,0.6261682242990654,0.616822429906542,0.6308411214953271
149.0,0.2850467289719626,0.5654205607476636,0.6261682242990654,0.205607476635514,0.08411214953271028,0.6308411214953271,0.6448598130841121,0.616822429906542,0.6261682242990654,0.616822429906542,0.6308411214953271
150.0,0.40816326530612246,0.6122448979591837,0.6836734693877551,0.22448979591836735,0.061224489795918366,0.6530612244897959,0.6836734693877551,0.6632653061224489,0.6632653061224489,0.673469387755102,0.6428571428571429
151.0,0.47058823529411764,0.6,0.6705882352941176,0.23529411764705882,0.07058823529411765,0.6470588235294118,0.6705882352941176,0.6588235294117647,0.6352941176470588,0.6588235294117647,0.6235294117647059
152.0,0.5128205128205128,0.6025641025641025,0.6794871794871795,0.23076923076923078,0.07692307692307693,0.6538461538461539,0.6794871794871795,0.6794871794871795,0.6410256410256411,0.6666666666666666,0.6282051282051282
153.0,0.5862068965517241,0.5862068965517241,0.6379310344827587,0.20689655172413793,0.06896551724137931,0.6206896551724138,0.6379310344827587,0.6379310344827587,0.5862068965517241,0.6206896551724138,0.5689655172413793
154.0,0.5862068965517241,0.5862068965517241,0.6379310344827587,0.20689655172413793,0.06896551724137931,0.6206896551724138,0.6379310344827587,0.6379310344827587,0.5862068965517241,0.6206896551724138,0.5689655172413793
155.0,0.6041666666666666,0.6041666666666666,0.625,0.1875,0.08333333333333333,0.6041666666666666,0.625,0.625,0.5625,0.6041666666666666,0.5416666666666666
156.0,0.6041666666666666,0.6041666666666666,0.625,0.1875,0.08333333333333333,0.6041666666666666,0.625,0.625,0.5625,0.6041666666666666,0.5416666666666666
157.0,0.5818181818181818,0.6363636363636364,0.6545454545454545,0.18181818181818182,0.07272727272727272,0.6181818181818182,0.6545454545454545,0.6545454545454545,0.5818181818181818,0.6,0.5636363636363636
158.0,0.6774193548387096,0.8064516129032258,0.8387096774193549,0.22580645161290322,0.03225806451612903,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.7419354838709677,0.7419354838709677,0.7741935483870968
159.0,0.6875,0.8125,0.84375,0.21875,0.03125,0.78125,0.84375,0.84375,0.75,0.75,0.78125
160.0,0.5362318840579711,0.8260869565217391,0.8695652173913043,0.15942028985507245,0.014492753623188406,0.782608695652174,0.855072463768116,0.855072463768116,0.8405797101449275,0.782608695652174,0.7971014492753623
161.0,0.532258064516129,0.8225806451612904,0.8870967741935484,0.16129032258064516,0.016129032258064516,0.8064516129032258,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.7903225806451613,0.8064516129032258
162.0,0.5230769230769231,0.8307692307692308,0.8923076923076924,0.15384615384615385,0.015384615384615385,0.8153846153846154,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8,0.8153846153846154
163.0,0.5230769230769231,0.8307692307692308,0.8923076923076924,0.15384615384615385,0.015384615384615385,0.8153846153846154,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8,0.8153846153846154
164.0,0.44516129032258067,0.8516129032258064,0.8774193548387097,0.0967741935483871,0.0,0.8129032258064516,0.8903225806451613,0.8903225806451613,0.8903225806451613,0.8064516129032258,0.8451612903225807
165.0,0.44516129032258067,0.8516129032258064,0.8774193548387097,0.0967741935483871,0.0,0.8129032258064516,0.8903225806451613,0.8903225806451613,0.8903225806451613,0.8064516129032258,0.8451612903225807
166.0,0.44516129032258067,0.8516129032258064,0.8774193548387097,0.0967741935483871,0.0,0.8129032258064516,0.8903225806451613,0.8903225806451613,0.8903225806451613,0.8064516129032258,0.8451612903225807
167.0,0.4444444444444444,0.8562091503267973,0.8823529411764706,0.0915032679738562,0.0,0.8169934640522876,0.8954248366013072,0.8954248366013072,0.8954248366013072,0.8104575163398693,0.8496732026143791
168.0,0.44805194805194803,0.8571428571428571,0.8831168831168831,0.09090909090909091,0.0,0.8181818181818182,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.8116883116883117,0.8506493506493507
169.0,0.4294478527607362,0.852760736196319,0.8773006134969326,0.08588957055214724,0.0,0.8159509202453987,0.8895705521472392,0.8957055214723927,0.8773006134969326,0.7975460122699386,0.8466257668711656
170.0,0.4294478527607362,0.852760736196319,0.8773006134969326,0.08588957055214724,0.0,0.8159509202453987,0.8895705521472392,0.8957055214723927,0.8773006134969326,0.7975460122699386,0.8466257668711656
171.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.0784313725490196,0.0,0.8104575163398693,0.8823529411764706,0.8888888888888888,0.8758169934640523,0.7908496732026143,0.8431372549019608
172.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.0784313725490196,0.0,0.8104575163398693,0.8823529411764706,0.8888888888888888,0.8758169934640523,0.7908496732026143,0.8431372549019608
173.0,0.4025974025974026,0.8506493506493507,0.8766233766233766,0.08441558441558442,0.0,0.8051948051948052,0.8766233766233766,0.8831168831168831,0.8701298701298701,0.7857142857142857,0.8376623376623377
174.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.08496732026143791,0.0,0.803921568627451,0.8758169934640523,0.8823529411764706,0.869281045751634,0.7843137254901961,0.8366013071895425
175.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.08496732026143791,0.0,0.803921568627451,0.8758169934640523,0.8823529411764706,0.869281045751634,0.7843137254901961,0.8366013071895425
176.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.08496732026143791,0.0,0.803921568627451,0.8758169934640523,0.8823529411764706,0.869281045751634,0.7843137254901961,0.8366013071895425
177.0,0.39869281045751637,0.8496732026143791,0.8758169934640523,0.08496732026143791,0.0,0.803921568627451,0.8758169934640523,0.8823529411764706,0.869281045751634,0.7843137254901961,0.8366013071895425
178.0,0.40939597315436244,0.8523489932885906,0.8791946308724832,0.08053691275167785,0.0,0.8053691275167785,0.8791946308724832,0.8859060402684564,0.87248322147651,0.7986577181208053,0.8389261744966443
179.0,0.40939597315436244,0.8523489932885906,0.8791946308724832,0.08053691275167785,0.0,0.8053691275167785,0.8791946308724832,0.8859060402684564,0.87248322147651,0.7986577181208053,0.8389261744966443
180.0,0.40540540540540543,0.8513513513513513,0.8783783783783784,0.08108108108108109,0.0,0.8040540540540541,0.8783783783783784,0.8851351351351351,0.8716216216216216,0.7972972972972973,0.8378378378378378
181.0,0.40540540540540543,0.8558558558558559,0.8738738738738738,0.07207207207207207,0.0,0.8108108108108109,0.8828828828828829,0.8918918918918919,0.8558558558558559,0.7927927927927928,0.8468468468468469
182.0,0.4090909090909091,0.8636363636363636,0.8727272727272727,0.07272727272727272,0.0,0.8090909090909091,0.8818181818181818,0.8909090909090909,0.8545454545454545,0.7909090909090909,0.8454545454545455
183.0,0.411214953271028,0.8598130841121495,0.8691588785046729,0.07476635514018691,0.0,0.8037383177570093,0.8785046728971962,0.8878504672897196,0.8504672897196262,0.7850467289719626,0.8411214953271028
184.0,0.411214953271028,0.8598130841121495,0.8691588785046729,0.07476635514018691,0.0,0.8037383177570093,0.8785046728971962,0.8878504672897196,0.8504672897196262,0.7850467289719626,0.8411214953271028
185.0,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.06666666666666667,0.0,0.7333333333333333,0.8,0.8666666666666667,0.6,0.6666666666666666,0.7333333333333333
186.0,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.06666666666666667,0.0,0.7333333333333333,0.8,0.8666666666666667,0.6,0.6666666666666666,0.7333333333333333
187.0,0.4375,0.8125,0.8125,0.0625,0.0,0.75,0.8125,0.875,0.625,0.6875,0.6875
188.0,0.4375,0.8125,0.8125,0.0625,0.0,0.75,0.8125,0.875,0.625,0.6875,0.6875
189.0,0.4,0.8,0.8,0.06666666666666667,0.0,0.7333333333333333,0.8,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666
190.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5
191.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5
192.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5
193.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5
