T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
108.0,0.7307692307692307,0.7692307692307693,0.5769230769230769,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6538461538461539,0.6923076923076923,0.7307692307692307,0.6538461538461539,0.6538461538461539
109.0,0.7916666666666666,0.7916666666666666,0.625,0.7916666666666666,0.5833333333333334,0.625,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7083333333333334
110.0,0.8095238095238095,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6190476190476191,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.7619047619047619,0.7619047619047619,0.6190476190476191,0.7142857142857143
111.0,0.85,0.85,0.7,0.85,0.65,0.65,0.75,0.7,0.65,0.8,0.8,0.6,0.7
112.0,0.875,0.8125,0.6875,0.875,0.625,0.625,0.75,0.625,0.5625,0.8125,0.875,0.5625,0.6875
113.0,0.875,0.8125,0.6875,0.875,0.625,0.625,0.75,0.625,0.5625,0.8125,0.875,0.5625,0.6875
114.0,0.8571428571428571,0.7857142857142857,0.6428571428571429,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5,0.7857142857142857,0.8571428571428571,0.5,0.6428571428571429
115.0,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.9090909090909091,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.45454545454545453,0.36363636363636365,0.7272727272727273,0.8181818181818182,0.45454545454545453,0.5454545454545454
116.0,0.75,0.75,0.5833333333333334,0.8333333333333334,0.5,0.5,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.75,0.4166666666666667,0.5
117.0,0.75,0.75,0.5833333333333334,0.8333333333333334,0.5,0.5,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.75,0.4166666666666667,0.5
