T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
97.0,-0.01867905401212229,0.18802099634766947,0.015087988070138815,0.019188966178543626,0.03029120998819323,0.03029120998819323,0.30058709448928295,0.4403285781114103,0.20280620195454863
98.0,0.06893268847078761,0.1314027034864221,0.02282738183786274,7.663637489852431e-05,0.01768809747118649,0.01768809747118649,0.14935082736144809,0.25411234417907647,0.024497098586249263
99.0,0.12569438570243013,0.13838891607863102,0.024044561568285612,0.000675035638629003,0.019241148372885028,0.019241148372885028,0.10474778144231962,0.21589085823922155,-0.02580940027954393
100.0,-0.06605619918804688,0.11089890274973374,-0.021797292431045667,0.014598074269222015,0.014794345141577108,0.014794345141577108,0.03928502004424857,0.12407705226180839,-0.019615144212453386
101.0,-0.07726089060842235,0.12999617425876395,-0.02557548232376708,0.017332237991808913,0.017626085434233593,0.017626085434233593,0.04676788100505781,0.14771077650215286,-0.023351362157682604
102.0,-0.10512775700189066,0.16224287310970517,-0.06108167685026483,0.014795251035776618,0.015042082887413353,0.015042082887413353,0.03928502004424857,0.12407705226180839,-0.019615144212453386
103.0,-0.10971029201125954,0.15152367125180918,-0.06354501687180562,0.015420458962102833,0.01567757547422443,0.01567757547422443,0.040921895879425595,0.12924692943938373,-0.020432441887972278
104.0,-0.15846239054545394,0.15631448561919487,-0.06582386898446158,0.015632568926662125,0.016351271160480157,0.016351271160480157,-9.902799316379971e-05,0.13419548982502627,-0.021320808926579768
105.0,-0.14540465471446135,0.16284766273200066,-0.06039342988427242,0.027971765352499747,0.01501650036423654,0.01501650036423654,-9.110575371069573e-05,0.12345985063902415,-0.019615144212453386
106.0,-0.14585952447469755,0.16242406211354862,-0.08426368731394264,0.02744505413776136,0.01453352564121037,0.01453352564121037,-0.02373888393101752,0.12296021287169627,-0.02011478197978126
107.0,-0.13397694265679946,0.1280314846725441,-0.06003099766482375,0.02208447193433067,0.012576320024728475,0.012576320024728475,-0.014482849924593321,0.0933841330185786,-0.011818069078096068
108.0,-0.13397694265679946,0.1280314846725441,-0.06003099766482375,0.02208447193433067,0.012576320024728475,0.012576320024728475,-0.014482849924593321,0.0933841330185786,-0.011818069078096068
