T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
137.0,0.007597420815788218,0.026729764106444332,-0.1436237319778549,-0.23271363992948713,-0.0013373478742426672,-0.015526396012594028,-0.10040367958981405,-0.3680294244136782,-0.12911573218130235,-0.08775310135656082,-0.08775310135656082,-0.02456169813841611,-0.024582814316675108,-0.01167228060817563,-0.08256890207361775
138.0,-0.01818912274911024,0.023433386456229808,-0.18561848811859086,-0.25847891647754057,-0.018034585105070736,-0.02158802382625346,-0.12447431915042105,-0.3659691500963725,-0.180327652133142,-0.08769118026405133,-0.08769118026405133,-0.03704698163752629,-0.05022383995770075,-0.04973933076023742,-0.12090954732630639
139.0,-0.02075512041321135,0.02436419265206709,-0.21347306502892124,-0.28211098798040385,-0.02055673191888285,-0.02491612377809262,-0.11356551704840832,-0.3692127433711707,-0.19228398339021124,-0.10071730062571543,-0.10071730062571543,-0.043152944026234694,-0.05826757562878776,-0.05771181507875629,-0.1391831772590833
140.0,-0.021738900166829767,0.01552238625143448,-0.24244441004680575,-0.3105134428774054,-0.033396771135955794,-0.026364026796572758,-0.1339544480848898,-0.371173121254905,-0.2163343839700817,-0.12047265119160691,-0.12047265119160691,-0.045783999016049806,-0.07651152311607254,-0.07558599187867876,-0.16125079654471344
141.0,-0.04017325588500338,0.004595632808304258,-0.30199238671819745,-0.33996261423086177,-0.044728959650411064,-0.027901702591634873,-0.15855352743104723,-0.3507766741207099,-0.24743476254061192,-0.1614043244732261,-0.1614043244732261,-0.062301151693542056,-0.05921393717142771,-0.10160704921324985,-0.18322955952775902
142.0,-0.041866785442732264,0.0034554719886865128,-0.3451758415818689,-0.36162011534573363,-0.06876229617577198,-0.028749035274157817,-0.18983045449597738,-0.3611759927263485,-0.2628626733405421,-0.1712135052160195,-0.1712135052160195,-0.06632912930228431,-0.06218324883570994,-0.10795812473612533,-0.18781149430210436
143.0,-0.07189691352293662,0.0009063719585018842,-0.38720957243019677,-0.35822160528192093,-0.07715139553720078,-0.0333648361406661,-0.214032881885592,-0.38222207065354663,-0.31986652282164113,-0.2170484600141331,-0.2170484600141331,-0.1003852404998079,-0.120124008756822,-0.14682932302087198,-0.21137427806336448
144.0,-0.10153842807042696,5.96105591975428e-05,-0.407085479067364,-0.37607332399581256,-0.08063569841833669,-0.03436215573257909,-0.2247750398537643,-0.42750732513586814,-0.3616931677942703,-0.20232978721201653,-0.20232978721201653,-0.13089503959870225,-0.12628421433409492,-0.18000005753476286,-0.24733031443028422
145.0,-0.11121883059160474,-0.001743585076444558,-0.4417517583989906,-0.3917399258426836,-0.08810172533566508,-0.03950962151783219,-0.2441244107124873,-0.4256242000505769,-0.39223448136076766,-0.22008254005255798,-0.22008254005255798,-0.14266842654210565,-0.13767336583878106,-0.19586552930617132,-0.2687489377476359
146.0,-0.12141169980886984,-0.0028733008436842887,-0.4205051746070303,-0.41080646997593845,-0.126141141995205,-0.048233120333607805,-0.26646384694661956,-0.4156580106940348,-0.4585715026355863,-0.20950870076248546,-0.20950870076248546,-0.12407988215933911,-0.1787771750303557,-0.2122839822964961,-0.29286248888345523
147.0,-0.1211485853584034,-0.0015683073700094477,-0.45489962987235033,-0.44097215202168233,-0.14240031114129215,-0.059116787033193785,-0.314299952641029,-0.4320903307404593,-0.48881185867983395,-0.20997424047002652,-0.20997424047002652,-0.12265216732659003,-0.19264691349374613,-0.24212017230396934,-0.3410537113354614
148.0,-0.12815778315877058,-0.0021801260605307676,-0.4518415437573488,-0.40545075599074576,-0.18480230120338703,-0.051429731120604096,-0.3681585054771475,-0.4577917337842075,-0.5846751866530906,-0.1917663405320732,-0.1917663405320732,-0.0975268284076286,-0.23624801658772399,-0.29083618595729355,-0.3449435047506135
149.0,-0.14948663330219814,-0.0074669782426130815,-0.4966939887010613,-0.4445540501547373,-0.21922903602304292,-0.05924898202844935,-0.43692971835116423,-0.5079111121736047,-0.6589420115534419,-0.22896613206924388,-0.22896613206924388,-0.11587552111332845,-0.2816716279519598,-0.34137858917509456,-0.3737301336056677
150.0,-0.15513149210189642,-0.004415257800951318,-0.514543069291286,-0.4615028828852997,-0.22293206196003118,-0.0688648837350339,-0.4932641477858283,-0.526252161953208,-0.6773128248747712,-0.27777338797519097,-0.27777338797519097,-0.15979366563797112,-0.2933521708388966,-0.3143754081372081,-0.3718458768461683
151.0,-0.1728340520302363,-0.009006707316887835,-0.5382328268694315,-0.43351261884206416,-0.2965237603219561,-0.11305258362449204,-0.5587054386736965,-0.6404222268211336,-0.7244490649074872,-0.2704272021461311,-0.2704272021461311,-0.1813516520497257,-0.329166412616766,-0.3580199677211246,-0.46989090430932556
152.0,-0.18034425370178322,-0.010669332315638352,-0.5631538013880102,-0.4536671085272183,-0.3099952209123129,-0.11794707163261893,-0.5846618242137712,-0.6708673448796382,-0.7581914349854876,-0.28254948352120984,-0.28254948352120984,-0.1890060031151752,-0.34435203533881065,-0.37457956925766256,-0.4917776933024446
153.0,-0.18979702122247655,-0.011988431458969499,-0.5915007237540272,-0.4763504639535793,-0.3252854796206269,-0.12485331931113139,-0.6141813609708968,-0.7054466516818112,-0.7962718854593083,-0.2968478364218166,-0.2968478364218166,-0.19845630327093397,-0.3615696371057512,-0.3933085477205457,-0.5165188145742887
154.0,-0.21072856574034907,-0.013941416429663563,-0.5945021525462845,-0.4950890320387291,-0.3598378369096144,-0.11599813572974862,-0.6263834189731158,-0.6828188812765625,-0.882640711961706,-0.32776999289439096,-0.32776999289439096,-0.21938209060395916,-0.4011815847134065,-0.43531815293097836,-0.515980756235994
155.0,-0.1988729347378361,-0.012425238317316886,-0.5636824899330942,-0.4694933045434136,-0.38534454424765846,-0.1117564094350881,-0.6458750741833276,-0.6765509561741512,-0.8924749262019371,-0.3141382832450642,-0.3141382832450642,-0.2082972547631051,-0.3791519182427937,-0.41379994547993687,-0.5240164838433258
156.0,-0.21065872354147594,-0.014570367186085873,-0.5949727529750451,-0.44057156973277434,-0.4070706537228875,-0.11741042726078064,-0.6265195546912713,-0.6594085195929,-0.9425447617100089,-0.2763926765399878,-0.2763926765399878,-0.2198693244721665,-0.4013138723019172,-0.4373396907213269,-0.4981238145493485
157.0,-0.21065872354147594,-0.014570367186085873,-0.5949727529750451,-0.44057156973277434,-0.4070706537228875,-0.11741042726078064,-0.6265195546912713,-0.6594085195929,-0.9425447617100089,-0.2763926765399878,-0.2763926765399878,-0.2198693244721665,-0.4013138723019172,-0.4373396907213269,-0.4981238145493485
158.0,-0.249867048844322,-0.06642150783383886,-0.5638238064689797,-0.5240709088112822,-0.4908788435314077,-0.2170196415557648,-0.6999409664136182,-0.6970277708512477,-0.9483406464054756,-0.36995373047011587,-0.36995373047011587,-0.2614436242785043,-0.43567954185373603,-0.46797950571629904,-0.5792376221533391
159.0,-0.1823771530397763,-0.07359712124065307,-0.49503398721707154,-0.46317108310811833,-0.5344198190399078,-0.24259296659522903,-0.7602980318342,-0.7221559166011053,-0.9340864338067393,-0.4013607864389058,-0.4013607864389058,-0.26319112131376077,-0.41852741968139895,-0.3940650622317742,-0.5345435141539141
160.0,-0.1823771530397763,-0.07359712124065307,-0.49503398721707154,-0.46317108310811833,-0.5344198190399078,-0.24259296659522903,-0.7602980318342,-0.7221559166011053,-0.9340864338067393,-0.4013607864389058,-0.4013607864389058,-0.26319112131376077,-0.41852741968139895,-0.3940650622317742,-0.5345435141539141
161.0,-0.19540409254261748,-0.038435599651511984,-0.44060953755595916,-0.4248261604729839,-0.5180353931391177,-0.2585377981472503,-0.7449203375396535,-0.7318688482280755,-0.9308746155963058,-0.3604170078889949,-0.3604170078889949,-0.28060724963139144,-0.376993663944356,-0.3507839952483294,-0.5008835971224791
162.0,-0.19540409254261748,-0.038435599651511984,-0.44060953755595916,-0.4248261604729839,-0.5180353931391177,-0.2585377981472503,-0.7449203375396535,-0.7318688482280755,-0.9308746155963058,-0.3604170078889949,-0.3604170078889949,-0.28060724963139144,-0.376993663944356,-0.3507839952483294,-0.5008835971224791
163.0,-0.2117777242768647,-0.04139145412886178,-0.38831975043565936,-0.4567725748079437,-0.4826046486233614,-0.2784253210816542,-0.7265289326588811,-0.7108472419122372,-1.0036520544570813,-0.38934157449737217,-0.38934157449737217,-0.3014599015939211,-0.4074438709594077,-0.37703485841216194,-0.4873704832495633
164.0,-0.1608183837477539,-0.055026013431515614,-0.4616705907259036,-0.4480417333761768,-0.5705723617386451,-0.32383039706806693,-0.8578713177334276,-0.6992395096091255,-1.0047185064643622,-0.36955630952364993,-0.36955630952364993,-0.2653560990431052,-0.2997007901114076,-0.3546719571010263,-0.5766636619084218
165.0,-0.07675025380955638,-0.06294860717801565,-0.5078161014452065,-0.49377969317172815,-0.627880188002983,-0.35899685759454625,-0.9439092977092226,-0.6699614767511862,-1.0054558122024047,-0.40674052014574447,-0.40674052014574447,-0.19189170894741572,-0.3296708691225484,-0.2901391528111289,-0.534517269532541
