Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
CharlieParker_Segment_Solo.jams,0.005577766059973862,0.01790610225330883,0.029780202541600503,0.006128934476955156,0.005577766059973862,0.007782295146311168,0.007782295146311168,0.01259447613957918,0.0264220383784072
CharlieParker_StarEyes_Solo.jams,0.022238153988108418,0.011601517879371692,0.011601517879371692,0.011601517879371692,0.0059561556027390985,0.00916060450180117,0.00916060450180117,0.00635645794476254,0.027659745657707475
CharlieParker_Steeplechase_Solo.jams,0.0202510213335913,0.014207584225089817,0.0022805385634790524,0.0059399682414892786,0.010512718968384481,0.006725766752295217,0.006725766752295217,0.00612805506760103,0.00477589456144009
CharlieParker_ThrivingOnARiff_Solo.jams,0.01764672405455626,0.03209604401382415,0.0057059886985601415,0.018530029056143645,0.0017054593458451439,0.01133386088266755,0.01133386088266755,0.024426925103857897,0.008199600218514196
CharlieParker_YardbirdSuite_Solo.jams,0.03708910936449585,0.012890093343295463,0.012890093343295463,0.012890093343295463,0.007345395058693276,0.0007376075169112839,0.0007376075169112839,0.0044836782336615,0.0018227906519928862
CharlieShavers_LimehouseBlues_Solo.jams,0.020328625635284685,0.011841172023093273,0.0010344170665104813,0.009691989526547939,0.020328625635284685,0.0038139261885332173,0.0038139261885332173,0.024153086840938656,0.00296770436309996
ChetBaker_IFallInLoveTooEasily_Solo.jams,0.01855658839612803,0.00905480128320897,0.00905480128320897,0.00905480128320897,0.004379176027714523,0.0025540367278335204,0.0025540367278335204,0.004180078337922831,0.004398772779028411
ChetBaker_JustFriends_Solo.jams,0.013386921445855111,0.010321997571633521,0.012517978786477797,0.012517978786477797,0.006723616885333999,0.007276511641871847,0.007276511641871847,0.016360045080871972,0.0017047789054250434
ChetBaker_Let'sGetLost_Solo.jams,0.036506122826590395,0.004905449433653672,0.004905449433653672,0.004905449433653672,0.0024123849130917824,0.0005976101789723487,0.0005976101789723487,0.003900691695756029,0.004453121029391009
ChetBaker_LongAgoAndFarAway_Solo.jams,0.0490681639075905,0.004859674949025424,0.004859674949025424,0.01289699401444371,0.007760511343396753,0.009343993471703973,0.009343993471703973,0.015676967173811784,0.005302623437734847
ChetBaker_ThereWillNeverBeAnotherYou-1_Solo.jams,0.02926735785168455,0.006909395259015412,0.006909395259015412,0.006909395259015412,0.00048312609958249287,0.005853522867360072,0.005853522867360072,0.02224897280908191,0.0038247439483049565
ChetBaker_ThereWillNeverBeAnotherYou-2_Solo.jams,0.014930242547336083,0.012700821359973915,0.012700821359973915,0.004172997204422331,0.0029955597418900295,0.0027030460223885027,0.0027030460223885027,0.007911857504733697,0.0033719298463599245
ChetBaker_Two'sBlues_Solo.jams,0.004284284759687155,0.02338836199221494,0.02338836199221494,0.02338836199221494,0.004284284759687155,0.015581459724097855,0.015581459724097855,0.0007894523089503914,0.01614729798351047
ChetBaker_You'dBeSoNiceToComeHomeTo_Solo.jams,0.03235504215828956,0.0038217109524101775,0.0038217109524101775,0.0038217109524101775,0.0006411575361261528,0.007516993550310796,0.007516993550310796,0.011680955863954614,0.003985293809219506
ChrisPotter_Anthropology_Solo.jams,0.0049241441632618885,0.004372975746280281,0.004372975746280281,0.004372975746280281,0.0036368224880610695,0.005638562739062102,0.005638562739062102,0.002092565916343668,0.002382430052351343
ChrisPotter_Arjuna_Solo.jams,0.1477779071474072,0.12130791873868507,0.12130791873868507,0.12130791873868507,0.11461690559574324,0.10932185923313575,0.10932185923313575,0.11702237971377899,0.10005653965465121
ChrisPotter_InASentimentalMood_Solo.jams,0.008284995845356162,0.04166178366696889,0.05508229942929076,0.04166178366696889,0.0010449819897653061,0.04496736096151392,0.04496736096151392,0.007015367761530657,0.049274052305272396
